제목1,제목2,seq_score
2021학년도 2학기 국가근로장학금 희망근로기관 신청 안내,2021-2 국가근로장학금 희망근로기관 신청 안내,0.896551724137931
2022학년도 여름 계절수업 경상국립대학교 교류수학 안내,2022학년도 여름 계절수업 경상국립대학교 학점교류 수학 안내,0.953846153846154
2018학년도 1학기 한양대학교 교류 수학,2018학년도 1학기 전남대학교 교류 수학 안내,0.8571428571428571
2025년 상반기 한미 대학생 연수(WEST) 프로그램 참가자 모집 안내,2025년 상반기 한·미 대학생 연수 (WEST) 프로그램 참가자 모집 안내,0.987012987012987
2017-2학기 장학사정관제 장학금 장학생 선발계획 알림,2017-2학기 장학사정관제 장학금 장학생 선발계획 알림(~12.14),0.9375
2018 년 학생대상-인권·성평등(폭력 예방) 온라인 교육 안내,2018년 인권/성평등 (폭력 예방) 온라인 교육 안내,0.896551724137931
2020학년도 1학기 수업 기말평가 시행 안내,2020-1학기 수업 기말평가 시행 안내,0.9130434782608696
2021- 1 고졸 후학습자 장학금(희망사다리Ⅱ유형) 신규장학생 학생신청 안내,[학부]2021학년도 1학기 고졸 후학습자 장학금(희망사다리Ⅱ유형) 신규장학생 신청 기간 안내,0.8636363636363636
2021년 서울장학재단 희망플러스장학금 장학생 선발 안내-3.19,2021년 서울장학재단 희망플러스 장학금 장학생 선발 안내,0.9393939393939394
"2024학년도 2학기 기말 수업평가 시행 안내(~1.7,17:00)",2024학년도 2학기 기말 수업평가 시행 안내  24.12.31~25.1.7,0.8059701492537313
"""제3기 큐레이터 준비 과정"" 프로그램","""제3기 큐레이터 준비 과정"" 프로그램 홍보 협조 요청",0.8085106382978723
선후배 진로지도 멘토링 프로그램 「키멘; KNU-멘토링」 신청 안내,[국립대학육성사업] 선후배 진로지도 멘토링 프로그램 「키멘; KNU-멘토링」 신청 안내,0.88
2024학년도 1학기 국가근로장학금 희망근로기관 신청 안내,2024학년도 1학기 국가장학금 2차 신청 안내,0.8275862068965517
2023 GUCCI LUXURY JOB CONCERT 견학 참가자 모집 안내,2023 GUCCI LUXURY JOB CONCERT 견학 참가자 모집 안내 및 공결 협조  요청,0.8842105263157894
신입생(저학년) 진로개발 프로그램 실시 안내,2014년도 신입생(저학년) 진로 개발 프로그램 실시 안내,0.8461538461538461
[국립대학육성사업] 2024학년도 학생상담센터 심리건강 지킴이 「두리다리」 홍보 협조 요청.hwx,[국립대학육성사업] 2024학년도 학생상담센터 심리건강 지킴이 「두리다리」 홍보\,0.898876404494382
강원혈액원 헌혈우수장학금 선발공고,2013년 강원혈액원 헌혈우수장학금 선발공고,0.8571428571428571
[학부]「2021년도 KNU 행복문고」프로그램 운영 안내,[춘천] 「2021년도 KNU 행복문고」 프로그램  신청 안내,0.8214285714285714
2023학년도 2학기 수강신청 변경기간 및 방법  알림,[학부] 2023학년도 2학기 수강신청 과목 변경기간 및 방법 안내,0.84375
2022학년도 2학기 한양대학교 교류 수학 안내,2022학년도 2학기 충남대학교 교류 수학 안내,0.9230769230769232
[학부]강원대학교 공자아카데미 브이로그 공모전 개최 안내,강원대학교 공자아카데미 브이로그 공모전 안내,0.9056603773584906
2021학년도 하계 계절수업 충남대학교 교류수학 안내,2021학년도 하계 계절수업 숙명여자대학교 교류수학 안내-5.4,0.8709677419354839
[대학혁신지원사업] 2021학년도 2학기 「학습역량강화지원 프로그램 활동 수기」 공모전 시행 공고,(1/16마감) [대학혁신지원사업] 2021학년도 2학기 「학습역량강화지원 프로그램 활동 수기」 공모전 시행 공고,0.9433962264150944
2020학년도 1학기 본솔김종한장학재단 신규 장학생 선발 안내,2020학년도 1학기 본솔김종한장학재단 신규 장학생 선발 안내(~3.13.),0.9577464788732394
(국가거점국립대학교) 2024학년도 2학기 충남대학교 교류 수학 안내,(국가거점국립대학교) 2024학년도 2학기 전북대학교 교류 수학 안내,0.9444444444444444
2022학년도 전기(2023.2월) 본 졸업사정 실시 및 결과 확인 안내,2022학년도 전기('23.2월) 졸업사정 결과 확인 안내(온라인),0.8235294117647058
2025 KNU 대학일자리플러스센터 「이달의 공고반」 취업캠프 모집 안내,(2/9마감) 2025 KNU 대학일자리플러스센터 「이달의 공고반」 취업캠프 모집 안내,0.9382716049382716
[학부]「2021년도 KNU 행복문고」프로그램 운영 안내,[춘천]「2021년도 KNU 행복문고」프로그램 운영 안내,0.925925925925926
2019학년도 하계 계절수업 한양대학교 학점 교류 수학 안내,2019학년도 하계 계절수업 전남대학교 학점 교류 수학 안내,0.9393939393939394
[안내]2018학년도 대학생 청소년교육지원사업 나눔지기 모집 안내,2018학년도 대학생 청소년교육지원사업 나눔지기 모집 안내,0.9696969696969696
2023-1학기 재학생 등록금 2차 추가납부기간 알림,[안내]2023-1학기 재학생 등록금 2차 추가납부기간 알림,0.9655172413793104
（국가거점국립대학교） 2023. 2학기 충북대학교 교류 수학 안내,（국가거점국립대학교） 2023. 2학기 전북대학교 교류 수학 안내,0.9696969696969696
[웨비나 안내] Wiley 편집장과 함께하는 피어리뷰 프로세스와 출판윤리,Wiley 편집장과 함께하는 피어리뷰 프로세스와 출판윤리 강연 안내,0.8266666666666667
2022학년도 1학기 한림대학교 일반대학원 교류 수학 안내,2022학년도 1학기 서울시립대학교 교류 수학 안내,0.8
[외교부] 2019 믹타 영 리더스 캠프 참가자 모집 협조,[외교부] 2019 믹타 영 리더스 캠프 참가자 모집,0.9473684210526316
(국가거점국립대학교) 2023학년도 2학기 교류 수학 안내,(국가거점국립대학교) 2023학년도 2학기 제주대학교 교류 수학 안내-7.19.수.18시까지,0.8
2018학년도 헌혈우수자 장학생 선발 안내,[장학]2018년 헌혈우수자 장학생 선발 안내,0.9130434782608696
[학부]2021년 대통령과학장학금 학생 신청 안내,2021년 대통령과학장학금 학생 신청 안내 [1학년만 해당],0.8214285714285714
2024학년도 2학기 기말 수업평가 기간 안내(정정),2024학년도 2학기 기말 수업평가 안내,0.8979591836734694
2017년 2학기 푸른등대 기부장학사업 신규장학생 선발 안내 [8/4(금)까지],2017년 2학기 푸른등대 기부장학사업 신규장학생 선발 안내,0.9166666666666666
2016학년도 1학기 국가장학금 1차 신청기간 안내,2016학년도 1학기 국가장학금 1차 신청기간 안내(11.24~12.16.18시),0.835820895522388
2025학년도 여름 계절수업 가톨릭관동대학교 교류수학 안내,2025학년도 여름 계절수업 국립강릉원주대학교 교류수학 안내,0.8307692307692308
2021-2학기 재학생 등록금 1차 추가납부기간 알림,2021학년도 2학기 재학생 등록금 1차 추가납부기간 안내,0.8666666666666667
2013학년도 제주대학교 동계 계절학기 수학 안내,2013학년도 전남대학교 동계 계절학기 수학 안내,0.925925925925926
2025년 1학기 국가장학금 1차 신청 안내,2025년 1학기 국가근로장학금 학생신청기간 안내,0.8235294117647058
2024학년도 1학기 국가근로장학금 희망근로기관 신청시 기본요건 변경 안내,2024학년도 1학기 국가근로장학금 희망근로기관 신청 안내,0.8767123287671232
스마트캠퍼스 e-루리 온라인 시험 진행시 유의사항,스마트캠퍼스 e-루리 온라인 시험 진행시 학생용 유의사항 홍보 요청,0.8387096774193549
2020학년도 2학기 동국대학교 일반대학원 학점교류 안내,2020학년도 2학기 충북대학교 학점교류 안내,0.8214285714285714
"도서관(미래, 법학, 의학) 임시 휴관 안내-8. 9.(금) ~ 8. 11.(일)","도서관(미래, 법학, 의학) 임시 휴관 안내",0.8
2022-2학기 KNU-SOS 장학생 선발 안내,2022학년도 2학기 KNU-SOS 장학생 선발 계획 안내,0.8727272727272727
2019학년도 동계 계절수업 숙명여자대학교 학점 교류 수학 안내,2019학년도 동계 계절수업 숙명여자대학교 학점교류 수학 안내,0.9855072463768116
[공지] 1학기 해외 파견자 양성 프로그램「Global-Preview」 참가안내,1학기 해외 파견자 양성 프로그램「Global-Preview」,0.8857142857142857
2023/24 풀브라이트 미국대학 한국어 보조강사 프로그램 안내,2023/24 풀브라이트 미국 대학원 유학 장학 프로그램 안내,0.8059701492537313
(4/24마감) 2019학년도 하계 국내 실습학기제 운영 안내,2019학년도 하계 국내 실습학기제 운영 안내,0.8928571428571429
2023학년도 2학기 [러닝코어] 프로그램 시행 공고,2023학년도 2학기 [메이저러너] 프로그램 시행 안내,0.8
&quot;책사랑 책나눔 책읽기&quot; 문화행사 개최,책사랑 책나눔 책읽기 문화행사 개최,0.8260869565217391
2017-1학기 특별장학금 장학생 선발 안내,2017-1학기 발전기금재단 장학생 선발 안내,0.8085106382978723
2018-1학기 국가장학금 2차 신청 안내,[학부] 2018-1학기 국가장학금 2차 신청 안내,0.9361702127659576
(2023.1학기) 일본 기타미공업대학 교환학생 운영계획 알림(~11.24.),2023-1학기 일본 기타미 공업대학 교환학생 운영 계획 안내,0.8529411764705882
[장학]2009학년도 1학기 특별장학생 선발 안내,2009학년도 1학기 특별장학생 선발계획 통보,0.84
2019.1학기 [무한도전 : 학생주도형 비교과 학습지원 프로그램] 안내,2019학년도 1학기 [무한도전 - 학생 주도형 비교과 학습지원 프로그램] 시행 공고,0.8461538461538461
[육성사업_학생중심] 2024학년도 1학기 메이저러너 시행 공고(문),[육성사업_학생중심] 2024학년도 1학기 「러닝코어」 프로그램 시행 공고,0.8169014084507042
공유형 이동장치(PM) 동절기 교내 한시적 운행금지에 따른 협조요청,공유형 이동장치(PM) 동절기 교내 한시적 운행금지,0.8524590163934426
2012학년도 후기(2013년 8월) 졸업예정자 취득학점 포기 시행 계획 안내,2013년 8월 졸업예정자 취득학점 포기 시행 계획,0.8115942028985508
"2025년 제52기(하계) WFK PAS 청년봉사단 해외봉사 단원, 임원, 대학단일팀 모집 홍보 요청","★ 2025년 제52기（하계） WFK PAS 청년봉사단 해외봉사 단원, 임원, 대학단일팀 ＂대학추천자＂ 모집",0.8846153846153846
국제교류프로그램 설명회 홍보,국제교류프로그램 설명회 홍보 협조요청,0.8571428571428571
2020학년도 학교현장실습 대상자 수요조사 안내,2020학년도 학교현장실습 대상자 수요조사-2,0.92
2015학년도 하계 일본 돗토리대학 단기 어학연수 파견자 선발계획 공고,2015년도 하계 돗토리대학 단기어학연수 파견계획,0.8181818181818182
2020-1학기 KNU핵심역량장학금 선발 계획 안내,2020년 1학기 KNU핵심역량장학 선발 안내,0.8846153846153846
2023년 상반기 중남미 지역기구 파견 인턴 선발 안내,2023년 상반기 중남미 지역기구 파견 인턴 선발 안내-12.6.화까지,0.9090909090909092
2015학년도 숙명여자대학교 여름계절학기 수학 안내,2015학년도 경상대학교 하계 계절학기 수학 안내,0.8
2014학년도 한국교원대학교 동계 계절학기 수학 안내,2014학년도 경상대학교 동계 계절학기 수학 안내,0.8928571428571429
